,path,label,image_id,label_idx
0,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0029931.jpg,BEK,ISIC_0029931.jpg,1
1,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0026923.jpg,BEK,ISIC_0026923.jpg,1
2,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0025103.jpg,BEK,ISIC_0025103.jpg,1
3,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0025710.jpg,BEK,ISIC_0025710.jpg,1
4,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0033884.jpg,BEK,ISIC_0033884.jpg,1
5,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0029897.jpg,BEK,ISIC_0029897.jpg,1
6,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0026849.jpg,BEK,ISIC_0026849.jpg,1
7,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0029235.jpg,BEK,ISIC_0029235.jpg,1
8,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0026959.jpg,BEK,ISIC_0026959.jpg,1
9,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0030318.jpg,BEK,ISIC_0030318.jpg,1
10,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0033491.jpg,BEK,ISIC_0033491.jpg,1
11,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0027608.jpg,BEK,ISIC_0027608.jpg,1
12,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0027875.jpg,BEK,ISIC_0027875.jpg,1
13,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0032306.jpg,BEK,ISIC_0032306.jpg,1
14,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0027559.jpg,BEK,ISIC_0027559.jpg,1
15,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0025743.jpg,BEK,ISIC_0025743.jpg,1
16,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0028840.jpg,BEK,ISIC_0028840.jpg,1
17,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0026606.jpg,BEK,ISIC_0026606.jpg,1
18,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0027463.jpg,BEK,ISIC_0027463.jpg,1
19,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0025484.jpg,BEK,ISIC_0025484.jpg,1
20,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0029793.jpg,BEK,ISIC_0029793.jpg,1
21,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0032200.jpg,BEK,ISIC_0032200.jpg,1
22,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0027747.jpg,BEK,ISIC_0027747.jpg,1
23,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0027332.jpg,BEK,ISIC_0027332.jpg,1
24,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0032732.jpg,BEK,ISIC_0032732.jpg,1
25,/gpfsdswork/projects/rech/izg/uvh55jl/journal/dataset/bekVSall/TRAIN/BEK/ISIC_0030105.jpg,BEK,ISIC_0030105.jpg,1
